SPLIT,,,,Directors,No of Movies,,,,
Guy Ritchie,,,,Majid Majidi,1,,,,
John McTiernan,,,,Steve McQueen,1,,,,
Denis Villeneuve,,,,Clyde Bruckman,1,,,,
Steven Spielberg,,,,David Yates,1,,,,
Vittorio De Sica,,,,Michael Cimino,1,,,,
Sam Mendes,,,,Jim Sheridan,1,,,,
Jon Watts,,,,Wes Anderson,1,,,,
Aamir Khan,Amole Gupte,,,Henri-Georges Clouzot,1,,,,
Oliver Hirschbiegel,,,,Lenny Abrahamson,1,,,,
Sergio Leone,,,,Sergio Pablos,1,,,,
Christopher Nolan,,,,Damián Szifron,1,,,,
Nitesh Tiwari,,,,George Miller,1,,,,
Charles Chaplin,,,,Dean DeBlois,1,,,,
Billy Wilder,,,,Adam Elliot,1,,,,
Florian Zeller,,,,Carl Theodor Dreyer,1,,,,
Joseph L. Mankiewicz,,,,Terry George,1,,,,
Peter Farrelly,,,,Yasujirô Ozu,1,,,,
Martin Scorsese,,,,Satyajit Ray,1,,,,
Dan Kwan,Daniel Scheinert,,,John G. Avildsen,1,,,,
Stanley Kramer,,,,Oliver Stone,1,,,,
Clint Eastwood,,,,Rob Reiner,1,,,,
Martin Scorsese,,,,Tom McCarthy,1,,,,
Akira Kurosawa,,,,Sean Penn,1,,,,
Guillermo del Toro,,,,Harold Ramis,1,,,,
Paul Thomas Anderson,,,,William Friedkin,1,,,,
M. Night Shyamalan,,,,Ernst Lubitsch,1,,,,
Ron Howard,,,,John Ford,1,,,,
Terry Gilliam,Terry Jones,,,Gillo Pontecorvo,1,,,,
Peter Weir,,,,Lasse Hallström,1,,,,
Akira Kurosawa,,,,Stuart Rosenberg,1,,,,
John Huston,,,,Alejandro G. Iñárritu,1,,,,
Akira Kurosawa,,,,Gore Verbinski,1,,,,
Martin Scorsese,,,,Mathieu Kassovitz,1,,,,
John Sturges,,,,François Truffaut,1,,,,
Steven Spielberg,,,,Cagan Irmak,1,,,,
Quentin Tarantino,,,,Robert Wise,1,,,,
Ethan Coen,Joel Coen,,,T.J. Gnanavel,1,,,,
Andrew Stanton,Lee Unkrich,,,Ron Clements,1,,,,
David Lynch,,,,Richard Attenborough,1,,,,
Martin Scorsese,,,,Tate Taylor,1,,,,
Roman Polanski,,,,Gary Trousdale,1,,,,
Victor Fleming,George Cukor,Sam Wood,,Mervyn LeRoy,1,,,,
